,prov,total.rev,ratio,total.exp,balance.trans,target.trans,project.trans,net.trans,year
255,Bac Ninh,5030000,93,3390410,102750,102750,101200,1639590,2011
265,Ha Nam,1310000,100,2172291,1314571,301200,295200,-862291,2011
275,Nam Dinh,1270000,100,4370217,3807677,652820,644200,-3100217,2011
285,Ninh Binh,2754000,100,3414821,1449066,268210,257300,-660821,2011
294,Thai Binh,1820000,100,4370616,3064446,390710,380000,-2550616,2011
314,Thanh Hoa,3600000,100,9759891,7970656,1656660,1571400,-6159891,2011
324,Nghe An,3909000,100,8223123,6238768,1249605,1194200,-4314123,2011
335,Ha Tinh,1460000,100,4304945,4649257,1687300,1677000,-2844945,2011
344,Quang Binh,1210000,100,2926816,2471746,626320,612600,-1716816,2011
354,Quang Tri,890000,100,2174333,2441693,889820,865900,-1284333,2011
364,Thua Thien - Hue,2831000,100,3518109,1356740,513881,494200,-687109,2011
375,Da Nang,9496000,85,6242492,276320,276320,269000,3253508,2011
384,Quang Nam,3550000,100,4678706,3042726,827320,773600,-1128706,2011
395,Quang Ngai,18121000,61,4388135,685690,685690,622000,13732865,2011
405,Binh Dinh,2695000,100,3409738,1765418,509950,482000,-714738,2011
417,Phu Yen,1075000,100,2379182,1749241,412300,404300,-1304182,2011
425,Khanh Hoa,8504000,77,4152658,400450,400450,397500,4351342,2011
435,Ninh Thuan,780000,100,1465127,1602217,663550,643000,-685127,2011
444,Binh Thuan,5200000,100,3007464,1438724,350500,333000,2192536,2011
465,Dak Lak,2734000,100,5403984,2734000,574770,535600,-2669984,2011
473,Dak Nong,786500,100,2041935,1862240,601630,563000,-1255435,2011
485,Gia Lai,2356000,100,4450882,2675022,511970,482200,-2094882,2011
495,Kon Tum,1045000,100,2292772,1950160,662800,643500,-1247772,2011
504,Lam Dong,2401500,100,3825820,1993500,359680,344200,-1424320,2011
525,Ho Chi Minh City,172706000,23,29524468,1009290,1009290,1009290,143181532,2011
533,Dong Nai,19580000,51,6660382,80000,80000,80000,12919618,2011
545,Binh Duong,18558000,40,5194230,50000,50000,50000,13363770,2011
555,Binh Phuoc,1931000,100,2724540,1036040,192070,179210,-793540,2011
565,Tay Ninh,2030500,100,2227383,580103,203600,193600,-196883,2011
573,Ba Ria - Vung Tau,87938000,44,5495662,98000,98000,98000,82442338,2011
595,Long An,3330000,100,3702145,916685,235670,222700,-372145,2011
603,Tien Giang,2390000,100,3344102,1293942,270800,268300,-954102,2011
619,Ben Tre,950000,100,2483216,1906736,367410,360500,-1533216,2011
625,Tra Vinh,625000,100,2636776,2508446,490660,484000,-2011776,2011
635,Vinh Long,1367000,100,2208332,1224762,312150,306000,-841332,2011
